Altium Designer Pick and Place Locations
D:\It's_work\Scope\Scope_evtA\Project Outputs for Scope_evtA\Pick Place Output\Pick Place for EVT_A(Solder_ADC).txt

========================================================================================================================
File Design Information:

Date:       06/04/24
Time:       22:52
Revision:   96a065bc237926ecf34b901cf5ad457e30612ea3
Variant:    Solder_ADC
Units used: mil

Designator Comment            Layer       Footprint       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                
C19        4.7uF              TopLayer    C0603           578.740       1527.559      0        "16V 4.7uF X7S ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                
R13        0R                 TopLayer    R0603           523.622       1212.598      90       "Res SMD"                                                                                                  
C38        4.7uF              BottomLayer C0603           444.882       799.213       180      "16V 4.7uF X7S ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                
R14        1.5k               TopLayer    R0603           625.984       1279.527      0        "Thick Film Resistors - SMD 0402 1K0 0.5%
"                                                               
R17        1.5k               TopLayer    R0603           728.346       1330.709      90       "Thick Film Resistors - SMD 0402 1K0 0.5%
"                                                               
R25        "22 R"             TopLayer    R0603           1456.693      1055.118      270      "Res SMD
"                                                                                                
R4         5k1                BottomLayer R0603           1633.858      854.331       270      "100mW Thick Film Resistors 75V ±1% 5.1kO 0603 Chip Resistor - Surface Mount ROHS"                         
R3         "22 R"             TopLayer    R0603           1401.575      838.583       180      "Res SMD
"                                                                                                
R2         "22 R"             TopLayer    R0603           1401.575      755.905       180      "Res SMD
"                                                                                                
DD2        REF35160QDBVR      BottomLayer SOT-23-6        425.197       1488.189      90       "Voltage References 650-nA quiescent current, 12-ppm/C drift, ultra-low-power precision voltage reference" 
C18        4.7uF              BottomLayer C0603           307.087       204.724       180      "16V 4.7uF X7S ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                
C29        0.1u               BottomLayer C0603           385.827       893.701       0        "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
C28        4.7uF              BottomLayer C0603           236.220       893.701       180      "16V 4.7uF X7S ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                
C17        390p               BottomLayer C0603           307.087       283.465       180      "50V 390pF C0G ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                               
C16        2.2n               BottomLayer C0603           307.087       362.205       180      "50V 2.2nF X7R ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS

"                             
C26        4.7uF              BottomLayer C0603           673.228       66.929        180      "16V 4.7uF X7S ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                
C41        4.7uF              TopLayer    C0603           303.150       846.457       180      "16V 4.7uF X7S ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"                                
C40        1u                 TopLayer    C0603           401.575       677.165       90       "25V 1uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                                
C39        0.1u               TopLayer    C0603           476.378       767.716       270      "100V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
"                             
